Indicator type,Indicator,Description
IPv4,35.198.146.227,
IPv4,137.184.188.114,
IPv4,218.92.0.134,
IPv4,103.14.33.177,
IPv4,193.32.162.73,
IPv4,218.92.0.134,
IPv4,172.245.11.102,
IPv4,195.178.110.76,
IPv4,103.226.139.67,
IPv4,193.32.162.73,
IPv4,218.92.0.230,
IPv4,218.92.0.230,
IPv4,218.92.0.134,
IPv4,218.92.0.134,
IPv4,138.197.108.100,
IPv4,152.200.217.230,
IPv4,218.92.0.134,
IPv4,218.92.0.134,
IPv4,167.172.111.28,
IPv4,193.32.162.73,
IPv4,157.230.31.185,
IPv4,193.32.162.73,
IPv4,218.92.0.134,
IPv4,211.187.29.12,
IPv4,167.99.37.253,
IPv4,139.59.123.13,
IPv4,152.32.201.247,
IPv4,49.247.47.230,
IPv4,89.117.33.244,
IPv4,218.92.0.231,
IPv4,218.92.0.219,
IPv4,196.251.84.225,
IPv4,167.172.69.229,
IPv4,154.221.28.197,
IPv4,218.92.0.198,
IPv4,167.172.146.42,
IPv4,116.98.169.111,
IPv4,218.92.0.223,
IPv4,210.16.189.143,
IPv4,198.199.71.30,
IPv4,218.92.0.226,
IPv4,83.222.191.218,
IPv4,37.111.53.110,
IPv4,34.66.178.44,
IPv4,218.92.0.198,
IPv4,116.226.33.18,
IPv4,218.92.0.233,
IPv4,209.143.72.134,
IPv4,116.98.171.183,
IPv4,45.159.112.96,
IPv4,36.88.163.34,
IPv4,106.246.52.140,
IPv4,81.192.46.49,
IPv4,183.56.216.153,
IPv4,113.161.194.27,
IPv4,45.132.235.212,
IPv4,68.178.201.150,
IPv4,196.251.84.225,
IPv4,218.92.0.198,
IPv4,116.105.216.241,
IPv4,43.162.125.239,
IPv4,182.18.161.165,
IPv4,223.247.218.112,
IPv4,218.92.0.143,
IPv4,160.191.165.63,
IPv4,118.193.44.68,
IPv4,195.178.110.210,
IPv4,182.163.112.230,
IPv4,92.118.39.86,
IPv4,92.118.39.86,
IPv4,92.118.39.86,
IPv4,92.118.39.86,
IPv4,218.92.0.232,
IPv4,24.199.102.23,
IPv4,92.118.39.86,
IPv4,159.223.15.39,
IPv4,93.95.228.175,
IPv4,218.92.0.103,
IPv4,218.92.0.225,
IPv4,92.118.39.86,
IPv4,218.203.173.203,
IPv4,107.175.197.29,
IPv4,46.101.89.24,
IPv4,37.189.196.88,
IPv4,218.92.0.222,
IPv4,117.48.216.168,
IPv4,46.249.101.177,
IPv4,128.199.20.225,
IPv4,38.43.76.234,
IPv4,98.66.154.229,
IPv4,119.202.128.28,
IPv4,178.128.218.144,
IPv4,92.118.39.71,
IPv4,177.182.220.54,
IPv4,114.34.106.146,
IPv4,187.72.57.81,
IPv4,218.92.0.220,
IPv4,196.46.215.28,
IPv4,103.20.223.95,
IPv4,103.99.39.193,
IPv4,222.102.21.102,
IPv4,197.5.145.102,
IPv4,180.76.151.217,
IPv4,138.68.102.164,
IPv4,218.92.0.111,
IPv4,161.35.223.68,
IPv4,43.159.55.214,
IPv4,218.92.0.134,
IPv4,178.250.191.146,
IPv4,138.68.91.226,
IPv4,64.23.178.20,
IPv4,24.199.102.23,
IPv4,107.150.112.221,
IPv4,134.209.168.219,
IPv4,218.92.0.134,
IPv4,140.106.25.217,
IPv4,103.237.144.204,
IPv4,103.56.115.23,
IPv4,210.212.47.85,
IPv4,218.92.0.221,
IPv4,1.238.106.229,
IPv4,14.103.170.168,
IPv4,218.92.0.233,
IPv4,218.92.0.218,
IPv4,218.92.0.226,
IPv4,43.164.134.42,
IPv4,218.92.0.226,
IPv4,218.92.0.233,
IPv4,177.12.2.75,
IPv4,206.81.4.191,
IPv4,106.75.241.35,
IPv4,207.231.111.219,
IPv4,218.92.0.220,
IPv4,132.164.153.44,
IPv4,85.18.244.227,
IPv4,115.220.7.128,
IPv4,206.189.230.76,
IPv4,85.245.107.230,
IPv4,101.126.93.113,
IPv4,218.92.0.153,
IPv4,218.92.0.153,
IPv4,170.64.166.123,
IPv4,103.248.43.101,
IPv4,218.92.0.153,
IPv4,202.131.233.35,
IPv4,218.92.0.112,
IPv4,218.92.0.229,
IPv4,218.92.0.235,
IPv4,80.94.95.112,
IPv4,218.92.0.153,
IPv4,118.36.34.88,
IPv4,85.215.201.159,
IPv4,38.54.8.74,
IPv4,80.94.95.112,
IPv4,170.79.37.88,
IPv4,80.94.95.112,
IPv4,185.216.116.99,
IPv4,114.130.56.193,
