Indicator type,Indicator,Description
domain,91752-coinbase.com,
domain,91756-coinbase.com,
domain,91782-coinbase.com,
domain,91835-coinbase.com,
domain,91845-coinbase.com,
domain,91923-coinbase.com,
domain,921hapudyqwdvy.com,
domain,92758-coinbase.com,
domain,93623.com,
domain,93844.com,
domain,938jss.com,
domain,93dhmp7ipsp.com,
domain,94237.com,
domain,948122061-coinbase.com,
domain,964964.com,
domain,978941-coinbase.com,
domain,98347r483df2grg5tg.com,
domain,98762341tdgi.online,
domain,98762341tdgi.site,
domain,98762341tdgi.top,
domain,98762341tdgi.xyz,
domain,9877.uk,
domain,988skins.com,
domain,98r7m8c8bk.com,
domain,98ygdjhdvuhj.com,
domain,999-ads-info.top,
domain,9cantronnfit.com,
domain,9fz0cqekwr.parody,
domain,9lcloud.com,
domain,9wg0dstmud.pirate,
domain,a-1bcdn.com,
domain,a2-tickets.ru,
domain,a25-bridgepayment.com,
domain,a2a2a2a.life,
domain,a4a4a4a.life,
domain,a6a6a6a6a6a6a6.info,
domain,aaaaooooddddaaaa.org,
domain,aabelandgain.com,
domain,aadigital.online,
domain,aadvanced-ip-scanner.com,
domain,abanca-usuario.com,
domain,abandonzombie.top,
domain,abbywinters.biz,
domain,abc-cdn.online,
domain,ablearewild.xyz,
domain,abn-amro-gobal.com,
domain,abouhaus.shop,
domain,about-tech.ru,
domain,aboutoildesign.xyz,
domain,aboveheldtouch.xyz,
domain,absolutelyfabulouswomen.com,
domain,absolutgg.com.br,
domain,absorbeni.ru,
domain,abspedition.icu,
domain,abusego.com,
domain,accaparacas.com,
domain,accenture-sso.net,
domain,acces-block.com,
domain,access-device.me,
domain,access-device.us,
domain,accesscheckout.online,
domain,accessverification.online,
domain,accgamegraphic.com,
domain,acconut-signin.com,
domain,accounlogin-lcloud.com,
domain,account-assistance.com,
domain,account-identifiant.com,
domain,account-localiser.com,
domain,account-loginicloud.com,
domain,account-map.com,
domain,account-signin.com,
domain,account-xiaomi.info,
domain,accountasifkwosov.shop,
domain,accountlogin-icloud.com,
domain,accountlogin-lcloud.com,
domain,accountrecovery-coinbase.com,
domain,accounts-mail.asia,
domain,accounts-mails.com,
domain,accounts-my-yandex.ru,
domain,accountsfindmy-lcloud.com,
domain,accountslogin-lcloud.com,
domain,accredit-navigation.online,
domain,accredit-validity.online,
domain,accunt-loqin.ml,
domain,accurateprivacy.online,
domain,acdc-tickets.com,
domain,aceofdigital.xyz,
domain,acid-fastlindbom.sbs,
domain,acmeautoleasing.net,
domain,acmtrck.com,
domain,acniservice.fr,
domain,acount.org,
domain,acquire-satoshivm.io,
domain,acrobatbrowser.com,
domain,acrobatuk.shop,
domain,acrosstheline.press,
domain,action-shakepay.com,
domain,activarbusqueda.click,
domain,activecampaign-hr.com,
domain,activecampaignhr.com,
domain,activeeditor.info,
domain,activesearchbar.me,
domain,activesso.com,
domain,activity-permission.online,
domain,actlvecampaign.net,
domain,actspokemethod.xyz,
domain,acuy77ahadd6g5rw2pxsuejskirjmxaoj37ck7fvj4h4kc36a3uwirqd.onion,
domain,adamsresearchshare.com,
domain,addisonlynch.com,
domain,addthis.events,
domain,adelalbassam.com,
domain,adfcloud.org,
domain,adfhjadfbjadbfjkhad44jka.com,
domain,adgangskode.com,
domain,adjsn.com,
domain,adjust-coinbase.com,
domain,adlvanced-ip-scanner.com,
domain,admhexlogs215.xyz,
domain,admin-kraken.com,
domain,admin-mydvces.cloud,
domain,admin-stable-right.top,
domain,admincoord.in,
domain,admiscion.online,
domain,admit-roar-frame.top,
domain,admlog2.xyz,
domain,admlogs195.xyz,
domain,admlogs25.xyz,
domain,admlogs85.xyz,
domain,admxlogs215.xyz,
domain,admxlogs25.xyz,
domain,adoazra.com,
domain,adobe-flash.us,
domain,adobe-plugin.bid,
domain,adobepl.shop,
domain,adobevn.pro,
domain,adqdqqewqewplzoqmzq.site,
domain,adrenaline-kassa.ru,
domain,ads-analyze.online,
domain,ads-analyze.site,
domain,ads-analyze.top,
domain,ads-analyze.xyz,
domain,ads-change.online,
domain,ads-change.site,
domain,ads-change.top,
domain,ads-change.xyz,
domain,ads-check.com,
domain,ads-creep.top,
domain,ads-creep.xyz,
domain,ads-eagle.top,
domain,ads-eagle.xyz,
domain,ads-forget.top,
domain,ads-hoop.top,
domain,ads-hoop.xyz,
domain,ads-info.ru,
domain,ads-info.site,
domain,ads-moon.top,
domain,ads-moon.xyz,
domain,ads-pill.top,
domain,ads-pill.xyz,
domain,ads-star.online,
domain,ads-star.site,
domain,ads-star.top,
domain,ads-star.xyz,
domain,ads-strong.online,
domain,ads-strong.site,
domain,ads-strong.top,
domain,ads-strong.xyz,
domain,ads-tooth.top,
domain,ads-tooth.xyz,
domain,ads-work.site,
domain,ads-work.top,
domain,ads-work.xyz,
domain,adsfasdf.com,
domain,adslsdfdsfmo.world,
domain,adslstickerhi.world,
domain,adstat277xm.xyz,
domain,adstat477d.xyz,
domain,adudu4d-ayam.store,
domain,adumtree.co.uk,
domain,adv-pardorudy.site,
domain,advaanced-ip-scanner.com,
domain,advaanced-ip-scanner.net,
domain,advanc3d-1p-scan.com,
domain,advanc3d-1p-scan3r.com,
domain,advanc3d-1p-scaner.com,
domain,advanc3d-1p-scann.com,
domain,advanc3d-1p-scanne.com,
domain,advanc3d-1p-scanner.com,
domain,advanc3d-1p-scans.com,
domain,advanc3d-ip-scanner.com,
domain,advanc3d-lp-scaner.com,
domain,advanc3d-lp-scanner.com,
domain,advancced-ip-scanner.com,
domain,advanceb-ip-scanner.com,
domain,advanceb-lp-scanner.com,
domain,advanced-ip-saaner.com,
domain,advanced-ip-scaaner.com,
domain,advanced-ip-scaer.com,
domain,advanced-ip-scaer.net,
domain,advanced-ip-scanel.com,
domain,advanced-ip-scanel.net,
domain,advanced-ip-scanerr.com,
domain,advanced-ip-scanerr.net,
domain,advanced-ip-scanir.com,
domain,advanced-ip-scanir.net,
domain,advanced-ip-scanner.link,
domain,advanced-ip-scanr.com,
domain,advanced-ip-scanr.net,
domain,advanced-ip-scanz.com,
domain,advanced-ip-scanz.net,
domain,advanced-ip-sccanner.com,
domain,advanced-ip.org,
domain,advanced-lp-saanel.com,
domain,advanced-lp-saaner.com,
domain,advanced-lp-scanel.com,
domain,advanced-lp-scannel.com,
domain,advancedipscannerapp.com,
domain,advancedtherapyservice.com,
domain,advansed-ip-scanner.com,
domain,advansed-ip-scanner.net,
domain,adventistya.com,
domain,adventsales.co.uk,
domain,advert-job.ru,
domain,advertising-check.ru,
domain,advission.online,
domain,advnaced-ip-skanner.top,
domain,advserv.xyz,
domain,advvanced-ip-scanner.com,
domain,advvanced-ip-scanner.net,
domain,adztrk.com,
domain,aerilaponawki.com,
domain,aerospace-atlas.online,
domain,aerospaceavenue.com,
domain,afakeloginpage.xyz,
domain,afarm.net,
domain,afashionstudio.com,
domain,afcmanager.net,
domain,afdhf198jfadafdkfad.com,
domain,affect-fist-ton.online,
domain,affiliatebash.com,
domain,affinitycloudenergy.com,
domain,affixio.com,
domain,afisha-afmclub.ru,
domain,afisha-alextheatre.com,
domain,afisha-alisa.com,
domain,afisha-alisa.ru,
domain,afisha-astudio.com,
domain,afisha-bconcert.ru,
domain,afisha-btheatre.ru,
domain,afisha-circus.ru,
domain,afisha-clubja.ru,
domain,afisha-cosclub.ru,
domain,afisha-dkyauza.ru,
domain,afisha-fest.ru,
domain,afisha-gazmanov.com,
domain,afisha-gbarclub.ru,
domain,afisha-ghall.ru,
domain,afisha-hammalinavai.ru,
domain,afisha-karena.ru,
domain,afisha-kremlya.com,
